"","Site","date","meanT","meanRH"
"583","Wiltshire",2019-07-23,21.2986111111111,77.5885763888889
"584","Wiltshire",2019-07-24,20.1071180555555,89.0428819444444
"585","Wiltshire",2019-07-25,21.3009027777778,80.8384375
"586","Wiltshire",2019-07-26,18.5957638888889,91.1396180555556
"587","Wiltshire",2019-07-27,17.1829166666666,87.5585416666667
"588","Wiltshire",2019-07-28,16.5139236111112,83.2272916666666
"589","Wiltshire",2019-07-29,17.1030902777778,76.0127083333334
"590","Wiltshire",2019-07-30,16.5452430555556,94.2785069444444
"591","Wiltshire",2019-07-31,16.5094791666667,89.3705208333333
"592","Wiltshire",2019-08-01,16.4057291666667,89.4820486111111
"593","Wiltshire",2019-08-02,17.8784375,86.7647222222222
"594","Wiltshire",2019-08-03,17.1581944444445,89.2139236111111
"595","Wiltshire",2019-08-04,17.4997569444444,89.9248958333333
"596","Wiltshire",2019-08-05,17.3565277777777,87.39125
"597","Wiltshire",2019-08-06,16.3912847222222,93.8357291666667
"598","Wiltshire",2019-08-07,15.5203125,96.1234722222222
"599","Wiltshire",2019-08-08,16.4864930555555,92.071875
"600","Wiltshire",2019-08-09,17.4111458333333,96.9814583333334
"601","Wiltshire",2019-08-10,15.8265277777778,94.8774652777778
"602","Wiltshire",2019-08-11,15.2227777777778,94.6188541666667
"603","Wiltshire",2019-08-12,13.5302083333334,94.7516319444445
"604","Wiltshire",2019-08-13,13.4835069444444,89.3436111111111
"605","Wiltshire",2019-08-14,14.6576041666667,99.7320138888888
"606","Wiltshire",2019-08-15,15.7847916666666,91.9870833333333
"607","Wiltshire",2019-08-16,14.8630208333333,99.4248263888888
"608","Wiltshire",2019-08-17,15.346875,93.0714236111112
"609","Wiltshire",2019-08-18,14.5868055555556,91.7845833333334
"610","Wiltshire",2019-08-19,13.8405555555556,94.2520833333333
"611","Wiltshire",2019-08-20,13.7431944444445,87.4611111111111
"612","Wiltshire",2019-08-21,14.7576736111111,88.7718402777778
"613","Wiltshire",2019-08-22,15.5763194444445,92.5390625
"614","Wiltshire",2019-08-23,16.9334722222222,88.5954861111111
"615","Wiltshire",2019-08-24,17.5657638888888,77.3562847222222
"616","Wiltshire",2019-08-25,19.4462152777777,83.1644444444445
"617","Wiltshire",2019-08-26,17.7080555555555,91.2650694444444
"618","Wiltshire",2019-08-27,17.6295486111111,93.3274652777778
"619","Wiltshire",2019-08-28,15.7377083333333,96.1994791666666
"620","Wiltshire",2019-08-29,13.8999305555556,94.0547916666667
"621","Wiltshire",2019-08-30,16.1870138888888,91.4055208333334
"622","Wiltshire",2019-08-31,14.8172569444444,93.6433680555556
"623","Wiltshire",2019-09-01,13.3206944444444,81.0285763888889
"624","Wiltshire",2019-09-02,13.2296875,88.9360763888889
"625","Wiltshire",2019-09-03,15.2645486111111,93.4185763888889
"626","Wiltshire",2019-09-04,14.4905555555556,91.0360069444444
"627","Wiltshire",2019-09-05,12.6421180555555,81.1218402777777
"628","Wiltshire",2019-09-06,12.5943055555556,94.8678472222223
"629","Wiltshire",2019-09-07,12.5959027777778,89.425625
"630","Wiltshire",2019-09-08,10.8984375,85.8681597222223
"631","Wiltshire",2019-09-09,11.8535069444444,98.7558680555556
"632","Wiltshire",2019-09-10,13.0615972222223,95.4020138888888
"633","Wiltshire",2019-09-11,14.8236805555555,98.7377083333333
"634","Wiltshire",2019-09-12,16.2834375,95.7650347222222
"635","Wiltshire",2019-09-13,14.2332986111111,82.4023958333333
"636","Wiltshire",2019-09-14,12.7695486111111,81.8087847222222
"637","Wiltshire",2019-09-15,15.1522569444444,91.1576388888889
"638","Wiltshire",2019-09-16,15.8074652777778,98.2973611111111
"639","Wiltshire",2019-09-17,12.3709027777778,87.0884027777778
"640","Wiltshire",2019-09-18,11.4259375,81.9058680555556
"641","Wiltshire",2019-09-19,12.5207638888889,83.6489583333333
"642","Wiltshire",2019-09-20,13.6698958333333,74.2480208333334
"643","Wiltshire",2019-09-21,16.2100694444444,73.1385416666667
"644","Wiltshire",2019-09-22,15.5475,96.7975694444444
"645","Wiltshire",2019-09-23,12.9967620751341,98.5592432915922
"646","Hexham",2019-04-21,13.2370486111111,72.6025694444444
"647","Hexham",2019-04-22,11.1957986111111,75.7033680555556
"648","Hexham",2019-04-23,10.4715277777777,85.0867013888889
"649","Hexham",2019-04-24,10.0135416666667,91.9528125
"650","Hexham",2019-04-25,8.75579861111111,95.8070833333333
"651","Hexham",2019-04-26,8.24465277777777,92.0321875
"652","Hexham",2019-04-27,7.11625,97.7867361111111
"653","Hexham",2019-04-28,7.629375,88.4634375
"654","Hexham",2019-04-29,8.33642361111111,86.3118055555556
"655","Hexham",2019-04-30,9.03878472222222,87.7871180555556
"656","Hexham",2019-05-01,9.73288194444445,92.8481597222222
"657","Hexham",2019-05-02,8.2584375,90.4072222222222
"658","Hexham",2019-05-03,6.02354166666666,86.2970138888889
"659","Hexham",2019-05-04,4.8209375,81.6960416666666
"660","Hexham",2019-05-05,6.3484375,75.3024305555556
"661","Hexham",2019-05-06,5.709375,89.1453472222223
"662","Hexham",2019-05-07,6.00913194444444,90.3336111111111
"663","Hexham",2019-05-08,6.37034722222223,100
"664","Hexham",2019-05-09,6.38871527777778,91.1189236111111
"665","Hexham",2019-05-10,5.73840277777778,85.2039583333333
"666","Hexham",2019-05-11,7.26666666666667,86.3505902777777
"667","Hexham",2019-05-12,8.13239583333333,81.0372222222223
"668","Hexham",2019-05-13,10.0988541666666,77.9722569444444
"669","Hexham",2019-05-14,12.8577430555556,80.4160416666666
"670","Hexham",2019-05-15,13.3997222222222,82.6066319444444
"671","Hexham",2019-05-16,10.435,78.2223958333334
"672","Hexham",2019-05-17,11.4981597222223,82.8950347222222
"673","Hexham",2019-05-18,10.5391666666667,98.9212847222222
"674","Hexham",2019-05-19,10.3878125,93.19625
"675","Hexham",2019-05-20,12.6220486111111,83.0091319444444
"676","Hexham",2019-05-21,11.4890277777777,79.2193402777778
"677","Hexham",2019-05-22,11.5895833333334,68.7088194444445
"678","Hexham",2019-05-23,12.3617013888889,67.3093402777777
"679","Hexham",2019-05-24,12.9836458333333,73.1538194444445
"680","Hexham",2019-05-25,11.4454861111111,88.283125
"681","Hexham",2019-05-26,13.3987847222222,89.8427430555556
"682","Hexham",2019-05-27,9.90177083333333,89.3430902777777
"683","Hexham",2019-05-28,8.24972222222222,97.0724652777778
"684","Hexham",2019-05-29,8.235625,96.4277083333334
"685","Hexham",2019-05-30,14.2295486111111,99.0227777777777
"686","Hexham",2019-05-31,13.9410416666667,94.8644444444444
"687","Hexham",2019-06-01,13.0241319444444,94.7163888888888
"688","Hexham",2019-06-02,14.1473958333334,91.0682986111111
"689","Hexham",2019-06-03,12.6709375,76.7111458333333
"690","Hexham",2019-06-04,11.56625,91.664375
"691","Hexham",2019-06-05,11.8721527777778,91.6734027777778
"692","Hexham",2019-06-06,11.9634722222222,83.1823263888889
"693","Hexham",2019-06-07,10.4691319444444,92.8554861111111
"694","Hexham",2019-06-08,10.0111111111111,100
"695","Hexham",2019-06-09,11.3864583333333,84.6102777777778
"696","Hexham",2019-06-10,10.4417708333333,86.9675347222222
"697","Hexham",2019-06-11,9.57336805555556,92.2456597222223
"698","Hexham",2019-06-12,9.9059375,99.8630208333333
"699","Hexham",2019-06-13,8.73697916666666,100
"700","Hexham",2019-06-14,9.70510416666666,98.2156597222223
"701","Hexham",2019-06-15,10.8780208333334,98.1285069444445
"702","Hexham",2019-06-16,11.3323958333333,93.1057291666666
"703","Hexham",2019-06-17,13.6737152777778,84.8283680555556
"704","Hexham",2019-06-18,14.4471527777778,81.9005555555556
"705","Hexham",2019-06-19,13.0426388888889,89.8601388888889
"706","Hexham",2019-06-20,12.2587152777778,80.8986111111111
"707","Hexham",2019-06-21,12.3200347222222,82.2422916666667
"708","Hexham",2019-06-22,11.3495138888889,92.9134027777777
"709","Hexham",2019-06-23,13.6684027777778,89.8440277777778
"710","Hexham",2019-06-24,13.9357638888889,100
"711","Hexham",2019-06-25,12.4078125,100
"712","Hexham",2019-06-26,11.8979166666666,95.6119791666667
"713","Hexham",2019-06-27,13.3056597222222,89.5134375
"714","Hexham",2019-06-28,15.1529166666666,90.6794791666667
"715","Hexham",2019-06-29,16.8955555555555,95.7460069444444
"716","Hexham",2019-06-30,15.3400694444444,90.2561458333333
"717","Hexham",2019-07-01,14.5420138888889,82.8807291666666
"718","Hexham",2019-07-02,13.6256944444444,79.6477083333334
"719","Hexham",2019-07-03,13.4819791666667,81.9466319444444
"720","Hexham",2019-07-04,14.0681944444445,85.5535416666667
"721","Hexham",2019-07-05,14.965625,87.0485763888889
"722","Hexham",2019-07-06,14.6359375,80.1913888888889
"723","Hexham",2019-07-07,12.2932986111111,87.3163541666667
"724","Hexham",2019-07-08,11.6954166666666,92.3442361111111
"725","Hexham",2019-07-09,13.8435763888889,99.6976388888889
"726","Hexham",2019-07-10,15.6791666666666,97.9037847222222
"727","Hexham",2019-07-11,16.1714583333333,92.1636111111111
"728","Hexham",2019-07-12,15.3475347222222,96.6180208333334
"729","Hexham",2019-07-13,14.9609722222222,99.4387152777778
"730","Hexham",2019-07-14,14.0830902777778,97.7282638888889
"731","Hexham",2019-07-15,14.1569791666667,96.3104166666666
"732","Hexham",2019-07-16,15.4997916666666,92.9940625
"733","Hexham",2019-07-17,14.8701388888889,94.6352430555555
"734","Hexham",2019-07-18,15.2695486111111,87.3571527777777
"735","Hexham",2019-07-19,14.34,95.3977083333334
"736","Hexham",2019-07-20,15.8541666666667,91.6742013888889
"737","Hexham",2019-07-21,14.9160069444444,90.5380208333333
"738","Hexham",2019-07-22,18.6657986111111,90.5529513888889
"739","Hexham",2019-07-23,20.0688888888889,88.5944791666667
"740","Hexham",2019-07-24,19.401875,93.4421875
"741","Hexham",2019-07-25,19.3646527777777,93.174375
"742","Hexham",2019-07-26,18.0464236111111,99.2272222222222
"743","Hexham",2019-07-27,15.1615972222222,100
"744","Hexham",2019-07-28,16.9244444444445,99.9151736111111
"745","Hexham",2019-07-29,15.91875,99.8850347222222
"746","Hexham",2019-07-30,14.350625,100
"747","Hexham",2019-07-31,16.0234722222222,100
"748","Hexham",2019-08-01,15.9865625,98.5793055555555
"749","Hexham",2019-08-02,15.5179861111111,99.9741666666666
"750","Hexham",2019-08-03,15.5207638888889,98.6421527777778
"751","Hexham",2019-08-04,16.6614930555555,98.6921875
"752","Hexham",2019-08-05,15.4402777777778,92.4957986111111
"753","Hexham",2019-08-06,14.4016319444444,98.7576388888889
"754","Hexham",2019-08-07,14.7636111111111,91.779375
"755","Hexham",2019-08-08,15.0100694444445,94.5686111111111
"756","Hexham",2019-08-09,15.4,99.9960416666667
"757","Hexham",2019-08-10,15.7821527777777,99.7509375
"758","Hexham",2019-08-11,13.7716319444445,99.7979861111111
"759","Hexham",2019-08-12,11.5650347222223,95.0270833333333
"760","Hexham",2019-08-13,11.7683680555556,92.4631944444444
"761","Hexham",2019-08-14,11.7654861111111,99.9817013888889
"762","Hexham",2019-08-15,14.1820486111111,88.8782638888889
"763","Hexham",2019-08-16,14.1723611111112,98.8505208333333
"764","Hexham",2019-08-17,14.2706597222222,90.0533333333333
"765","Hexham",2019-08-18,13.5240625,92.9455208333333
"766","Hexham",2019-08-19,13.5130208333333,90.2464583333334
"767","Hexham",2019-08-20,12.9715625,90.3048958333333
"768","Hexham",2019-08-21,13.1733333333333,90.6647569444444
"769","Hexham",2019-08-22,14.5634027777778,98.5538194444444
"770","Hexham",2019-08-23,17.3990972222222,91.8577777777778
"771","Hexham",2019-08-24,15.8696527777778,92.5580555555555
"772","Hexham",2019-08-25,15.8997222222223,92.6629513888889
"773","Hexham",2019-08-26,16.3330208333333,97.5336805555555
"774","Hexham",2019-08-27,16.1648263888889,98.3671527777778
"775","Hexham",2019-08-28,14.0940277777778,96.5827777777778
"776","Hexham",2019-08-29,13.9018402777778,92.8649305555556
"777","Hexham",2019-08-30,15.7296527777778,91.7478472222222
"778","Hexham",2019-08-31,14.6453125,85.0836458333333
"779","Hexham",2019-09-01,11.9937847222222,85.9697916666667
"780","Hexham",2019-09-02,11.8510763888889,94.2930555555556
"781","Hexham",2019-09-03,15.4175347222222,94.9018055555556
"782","Hexham",2019-09-04,12.436875,93.6795486111111
"783","Hexham",2019-09-05,11.2703472222222,86.6866319444445
"784","Hexham",2019-09-06,12.8733333333333,89.3689236111111
"785","Hexham",2019-09-07,10.2858680555556,90.0996875
"786","Hexham",2019-09-08,8.5278125,93.3376388888889
"787","Hexham",2019-09-09,10.6414236111111,98.4730208333334
"788","Hexham",2019-09-10,10.4864583333333,94.0094097222222
"789","Hexham",2019-09-11,14.4155555555555,89.1272916666667
"790","Hexham",2019-09-12,14.2956944444444,92.3827430555556
"791","Hexham",2019-09-13,10.8038888888888,91.236875
"792","Hexham",2019-09-14,10.9906597222222,86.1093402777777
"793","Hexham",2019-09-15,12.2650347222222,89.7967013888888
"794","Hexham",2019-09-16,9.45378472222222,89.5441319444444
"795","Hexham",2019-09-17,10.0437152777778,86.4905555555556
"796","Hexham",2019-09-18,9.42236111111111,92.0246527777778
"797","Hexham",2019-09-19,11.3552083333333,95.3852083333334
"798","Hexham",2019-09-20,11.0004513888889,96.2928819444444
"799","Hexham",2019-09-21,13.2531944444444,93.4989930555556
"800","Durham",2018-04-16,10.6971180555555,77.2582638888889
"801","Durham",2018-04-17,11.4754513888889,77.5003472222222
"802","Durham",2018-04-18,15.6293055555556,75.8496180555555
"803","Durham",2018-04-19,16.5797916666667,72.4897916666666
"804","Durham",2018-04-20,12.7782291666666,74.1902430555556
"805","Durham",2018-04-21,12.6965277777777,75.5219791666667
"806","Durham",2018-04-22,12.1076388888889,79.6368055555556
"807","Durham",2018-04-23,10.5464236111111,74.0221527777777
"808","Durham",2018-04-24,9.02840277777778,80.7660763888888
"809","Durham",2018-04-25,8.74534722222222,78.0259027777778
"810","Durham",2018-04-26,8.99826388888889,70.1816666666667
"811","Durham",2018-04-27,7.32246527777778,72.571875
"812","Durham",2018-04-28,5.94048611111111,88.5765277777778
"813","Durham",2018-04-29,6.22274305555556,80.6040625
"814","Durham",2018-04-30,6.34243055555556,75.9086805555555
"815","Durham",2018-05-01,8.41163194444444,69.2100694444445
"816","Durham",2018-05-02,9.06857638888889,73.9052430555556
"817","Durham",2018-05-03,9.52677083333334,71.7046527777778
"818","Durham",2018-05-04,14.1965625,74.4379861111111
"819","Durham",2018-05-05,14.5850694444444,76.8100694444445
"820","Durham",2018-05-06,16.0822916666666,76.4386458333333
"821","Durham",2018-05-07,17.2719444444444,72.1658680555555
"822","Durham",2018-05-08,15.2773958333334,79.7445833333333
"823","Durham",2018-05-09,10.4538888888888,84.5734375
"824","Durham",2018-05-10,10.07,74.9214930555555
"825","Durham",2018-05-11,10.9586805555555,72.7560069444445
"826","Durham",2018-05-12,11.91,79.1410416666666
"827","Durham",2018-05-13,11.8025694444444,79.8066666666667
"828","Durham",2018-05-14,12.2070486111111,69.4994791666666
"829","Durham",2018-05-15,14.0882291666667,76.7602777777777
"830","Durham",2018-05-16,8.90840277777778,84.6187847222222
"831","Durham",2018-05-17,8.50340277777778,77.8526388888889
"832","Durham",2018-05-18,10.0552083333333,72.4245486111111
"833","Durham",2018-05-19,13.6326736111111,72.4048263888889
"834","Durham",2018-05-20,15.0848263888889,74.3522222222222
"835","Durham",2018-05-21,14.8054166666667,75.4164236111111
"836","Durham",2018-05-22,9.41871527777778,94.6970138888889
"837","Durham",2018-05-23,9.77447916666667,90.6481597222222
"838","Durham",2018-05-24,11.1145138888889,87.4489583333334
"839","Durham",2018-05-25,11.3219791666667,94.8760069444444
"840","Durham",2018-05-26,13.1615972222222,90.7238194444444
